rate_hits,cycles_train,cycles_attack
0.9989,3.44139,213.79
0.9993,3.42612,216.52
0.9983,3.5097,217.405
0.9991,3.45611,214.052
0.9992,3.44194,231.07
0.9995,3.44036,234.735
0.9996,3.45395,215.241
0.9996,3.43533,217.367
0.9993,3.44437,216.043
0.9996,3.43407,214.816
0.9995,3.44291,215.617
0.9995,3.43103,211.291
0.9997,3.42521,232.48
0.9993,3.43045,213.626
0.9995,3.43422,214.566
0.9994,3.43864,231.718
0.9968,3.55052,230.826
0.9994,3.43043,249.597
0.9995,3.45665,215.454
0.9995,3.44751,231.832
0.9992,3.43408,213.191
0.9994,3.42806,213.855
0.9998,3.44717,229.249
0.9995,3.45045,215.965
0.9995,3.43454,216.325
0.9995,3.43746,230.527
0.9996,3.43833,249.196
0.9996,3.4323,231.894
0.9999,3.4423,232.092
0.9993,3.43237,210.909
0.9996,3.4291,231.652
0.9975,3.53325,214.085
0.9993,3.4418,252.636
0.9998,3.44029,214.518
0.9997,3.435,213.191
0.9997,3.44265,230.909
0.9994,3.43939,215.608
0.9993,3.4529,231.174
0.9998,3.4439,232.505
0.9992,3.43399,213.716
0.999,3.43274,212.103
0.9993,3.43445,214.952
0.9993,3.44644,230.691
0.9993,3.44022,232.424
0.9997,3.43432,229.963
0.9948,3.48701,213.39
0.9993,3.44264,230.454
0.9988,3.44045,230.109
0.9996,3.43938,228.833
0.9993,3.4428,217.249
0.9994,3.4324,214.764
0.9994,3.43015,208.097
0.9997,3.44479,230.706
0.9994,3.44041,250.588
0.9994,3.43519,234.915
0.9996,3.44549,232.077
0.9999,3.4357,211.855
0.9998,3.436,231.695
0.9992,3.43526,210.792
0.9996,3.43697,213.339
0.9992,3.44401,211.798
0.9992,3.43633,210.78
0.9994,3.42938,249.364
0.999,3.44686,217.635
0.9995,3.43508,229.496
0.9995,3.46721,230.737
0.9993,3.43357,212.004
0.9994,3.43611,230.204
0.999,3.45243,215.292
0.9999,3.43743,233.323
0.9997,3.43421,230.84
0.999,3.44664,228.789
0.9996,3.44386,228.582
0.9993,3.42947,211.281
0.9963,3.55619,229.783
0.9993,3.43876,213.669
0.9995,3.44268,213.217
0.9997,3.43187,215.685
0.9997,3.42605,228.513
0.9997,3.43976,215.396
0.9992,3.43432,230.228
0.9995,3.44677,230.96
0.9994,3.44764,230.108
0.9994,3.43595,215.195
0.9994,3.43865,228.602
0.9989,3.44349,212.708
0.9991,3.45459,229.112
0.9998,3.44589,214.22
0.9994,3.43748,229.739
0.9996,3.4409,231.454
0.9995,3.43693,212.689
0.9993,3.45571,214.243
0.9994,3.42357,212.123
0.9995,3.44523,230.545
0.9994,3.43048,214.075
0.9995,3.43437,232.967
0.9997,3.42691,231.438
0.9998,3.43002,211.97
0.9995,3.44501,212.833
0.9995,3.43214,230.667
0.9995,3.44671,229.931
0.9994,3.44026,214.426
0.9996,3.45959,254.059
0.9958,3.62306,216.677
0.9994,3.42973,230.117
0.9994,3.42973,228.334
0.9993,3.42829,231.795
0.9994,3.45091,251.845
0.9994,3.43597,235.322
0.9995,3.42978,229.681
0.9997,3.43991,218.06
0.999,3.4414,213.088
0.9998,3.4459,230.723
0.9996,3.44079,232.565
0.9995,3.42995,212.404
0.9991,3.44688,231.937
0.9993,3.43476,234.184
0.9982,3.5534,236.931
0.9992,3.42723,211.829
0.9994,3.43457,233.681
0.9992,3.43261,213.459
0.9993,3.43357,235.162
0.9992,3.43327,216.043
0.9993,3.43345,215.149
0.9995,3.43386,233.415
0.9994,3.43451,215.058
0.9995,3.43305,217.125
0.9994,3.4343,217.139
0.9992,3.45236,218.135
0.9994,3.43291,209.095
0.9996,3.45868,213.885
0.9996,3.42881,212.674
0.9972,3.50914,212.502
0.9995,3.44504,230.111
0.9994,3.44335,215.229
0.9993,3.44084,230.443
0.9991,3.43832,234.018
0.9993,3.44976,231.377
0.9996,3.44318,230.571
0.9997,3.4385,228.61
0.9994,3.43668,214.74
0.9993,3.42877,214.664
0.9996,3.43007,216.576
0.9993,3.44786,231.597
0.9993,3.432,214.991
0.9989,3.43448,217.511
0.9973,3.50232,213.245
0.9994,3.43748,214.637
0.9992,3.44202,214.843
0.9996,3.43306,228.653
0.9995,3.43282,233.599
0.9994,3.44657,228.883
0.9997,3.43549,211.726
0.9994,3.45283,215.508
0.9996,3.44584,213.088
0.9994,3.43737,234.715
0.9994,3.45547,214.218
0.9995,3.43203,230.434
0.9993,3.43913,213.841
0.9994,3.44531,235.413
0.9997,3.44023,232.413
0.992,3.73753,234.41
0.9992,3.44706,229.388
0.9993,3.43324,231.396
0.9995,3.4508,235.37
0.9996,3.42525,217.527
0.9995,3.43015,228.353
0.9998,3.43491,232.621
0.9997,3.44147,212.141
0.9992,3.44133,231.637
0.9994,3.44014,232.404
0.999,3.43999,217.48
0.9998,3.44099,230.364
0.9994,3.43771,214.648
0.9998,3.44518,252.124
0.9973,3.51519,230.024
0.9997,3.43204,213.41
0.9996,3.44091,213.564
0.9993,3.43431,215.261
0.9998,3.44916,214.621
0.9997,3.42587,215.6
0.9995,3.42711,230.161
0.9998,3.44239,229.479
0.9996,3.43277,211.038
0.9995,3.4256,230.341
0.9998,3.46162,231.396
0.9991,3.42875,229.922
0.9992,3.43787,210.22
0.9995,3.4321,231.601
0.9995,3.4407,211.426
0.9991,3.4478,230.274
0.9992,3.43463,212.314
0.9994,3.44106,228.212
0.9992,3.43286,212.791
0.9995,3.43524,229.594
0.999,3.44166,233.702
0.9993,3.44021,234.662
0.9992,3.43617,213.034
0.9995,3.45113,214.516
0.9996,3.44899,215.58
0.9996,3.43668,249.995
0.9997,3.44756,229.956
0.9997,3.44305,229.994
0.9992,3.43647,215.314
0.987,3.76529,218.643
0.9991,3.43964,213.35
0.9994,3.43961,231.024
0.9996,3.44863,211.579
0.9997,3.45293,215.849
0.9996,3.44367,214.954
0.9994,3.43971,232.707
0.9991,3.43562,232.016
0.9994,3.43224,229.722
0.9993,3.44691,235.854
0.9992,3.44265,229.603
0.9992,3.43587,214.543
0.9995,3.4364,231.471
0.9994,3.43715,229.226
0.9994,3.44787,215.38
0.9996,3.42783,251.799
0.9996,3.44012,232.463
0.9996,3.43419,230.219
0.9996,3.42807,229.314
0.9992,3.44123,215.577
0.9995,3.43607,230.312
0.999,3.4378,234.022
0.9994,3.43216,230.07
0.999,3.44159,213.201
0.9992,3.43899,229.209
0.9998,3.43714,213.761
0.9995,3.45743,211.665
0.9991,3.43303,211.84
0.9996,3.45717,237.128
0.9979,3.45974,234.146
0.9994,3.4362,233.99
0.9995,3.43435,215.092
0.9988,3.41859,227.373
0.9997,3.4436,234.396
0.9997,3.42247,215.934
0.9994,3.44096,230.516
0.9996,3.44417,228.936
0.9995,3.44046,212.662
0.9991,3.44785,230.185
0.9993,3.42901,211.094
0.9995,3.42725,230.501
0.9992,3.43037,229.78
0.9996,3.44477,214.719
0.9966,3.5564,230.672
0.9995,3.44244,234.554
0.9994,3.43985,233.266
0.9997,3.42765,210.929
0.9996,3.43181,234.403
0.9994,3.43084,211.153
0.9993,3.44113,232.569
0.9993,3.42983,211.49
0.9997,3.43419,236.052
0.9997,3.43468,230.44
0.9995,3.43483,214.654
0.9996,3.42608,235.724
0.9998,3.43429,234.716
0.9995,3.44708,232.642
0.9992,3.43423,213.874
0.9994,3.48496,232.217
0.9992,3.44345,215.247
0.9993,3.43585,230.447
0.9994,3.44071,212.769
0.9994,3.43413,229.046
0.9997,3.43353,228.733
0.9996,3.4292,213.221
0.9995,3.42835,229.411
0.9996,3.4471,215.954
0.9994,3.43807,229.667
0.9995,3.44129,215.886
0.9998,3.43536,217.783
0.9997,3.43428,228.593
0.9995,3.4419,212.035
0.9974,3.53511,211.316
0.9996,3.42614,211.695
0.9999,3.44137,230.259
0.9992,3.44914,216.954
0.9998,3.42843,232.525
0.9995,3.44137,213.51
0.9993,3.44403,229.192
0.9998,3.44819,230.872
0.9992,3.43668,237.223
0.9998,3.43338,228.722
0.9996,3.44132,234.349
0.9991,3.43093,209.19
0.9991,3.43189,213.11
0.9996,3.4372,232.405
0.9992,3.44913,217.847
0.9886,3.77524,257.073
0.9997,3.43258,231.72
0.9995,3.43806,229.813
0.9997,3.43916,212.629
0.9997,3.43955,213.556
0.9994,3.43764,231.55
0.9993,3.44545,234.666
0.9989,3.43187,231.366
0.9994,3.44353,214.83
0.9995,3.42532,214.606
0.9995,3.43515,234.466
0.9995,3.43477,216.261
0.9995,3.44373,230.798
0.9999,3.43278,228.397
0.9985,3.47626,211.631
0.9993,3.44945,229.8
0.9993,3.44611,229.318
0.9994,3.42983,229.211
0.9993,3.4374,236.167
0.9993,3.43175,213.153
0.9993,3.43783,213.475
0.9995,3.45345,213.866
0.9994,3.44075,212.119
0.9997,3.43529,230.465
0.9992,3.43593,227.141
0.9996,3.42827,248.544
0.9994,3.45223,214.096
0.9994,3.43739,229.502
0.9995,3.43941,216.311
0.9989,3.48586,211.564
0.9994,3.43588,226.047
0.9995,3.43526,212.591
