rate_hits,cycles_train,cycles_attack
1,3.20294,262.674
0.9999,3.2036,244.929
1,3.20341,258.397
0.9997,3.27992,259.726
1,3.20229,244.183
1,3.20575,259.468
1,3.20486,247.537
1,3.20419,251.002
1,3.20234,247.145
1,3.20298,254.693
1,3.20299,259.227
1,3.2028,258.731
1,3.20302,248.8
1,3.20314,247.501
1,3.20278,246.425
1,3.20243,257.15
1,3.20351,246.801
1,3.20287,248.751
1,3.22296,263.387
1,3.20308,259.533
1,3.20236,252.018
1,3.20223,252.144
1,3.20274,246.146
1,3.20279,245.962
1,3.20256,245.575
1,3.20262,258.103
1,3.20257,263.991
1,3.20275,245.427
1,3.20292,281.325
0.9999,3.20302,258.603
1,3.20267,247.256
0.9999,3.20245,247.198
0.9953,3.30642,260.887
1,3.20307,259.277
1,3.20302,251.56
1,3.20226,250.971
1,3.20306,259.452
1,3.20377,248.532
1,3.20292,258.646
1,3.20264,244.909
1,3.2052,259.463
1,3.20241,248.502
1,3.20261,259.262
1,3.20272,251.647
0.9999,3.20303,248.739
1,3.20304,257.921
0.9999,3.2026,264.371
0.9985,3.28706,250.443
1,3.20701,259.582
1,3.20471,258.989
1,3.20678,249.779
1,3.20488,244.133
0.9999,3.20473,244.589
0.9999,3.20696,241.606
1,3.20447,249.094
1,3.20465,253.347
1,3.20457,257.564
1,3.20388,261.37
1,3.20296,247.858
1,3.20305,247.362
0.9999,3.2028,260.97
0.9999,3.24708,248.832
0.9999,3.2028,246.787
1,3.20632,249.462
1,3.20297,245.978
1,3.20319,256.383
1,3.20302,260.127
1,3.20369,242.67
1,3.20317,261.251
0.9999,3.20328,264.489
0.9999,3.20341,257.306
1,3.20406,259.708
0.9999,3.20376,257.144
1,3.20361,258.9
1,3.20375,256.89
1,3.20296,257.039
0.9998,3.25033,264.25
1,3.20664,246.388
1,3.20295,245.356
1,3.20315,247.208
1,3.20317,280.083
1,3.204,258.817
1,3.20281,244.672
1,3.20295,259.202
1,3.20322,247.252
1,3.20351,250.481
1,3.20326,250.282
1,3.20301,245.368
1,3.20284,254.551
1,3.20286,248.468
0.9999,3.24573,260.838
1,3.20256,259.594
1,3.2032,248.252
1,3.20321,250.149
1,3.20278,257.596
1,3.20281,247.745
0.9999,3.20261,258.528
1,3.2026,262.977
1,3.20316,260.527
1,3.20282,260.328
1,3.2026,260.622
1,3.20264,258.871
1,3.203,262.59
1,3.20251,258.641
1,3.20281,261.652
0.9997,3.24719,250.596
1,3.20321,258.798
1,3.20276,245.25
1,3.20297,245.457
1,3.20263,260.46
1,3.2032,247.374
1,3.20254,258.743
1,3.2029,258.304
1,3.20317,263.758
1,3.20251,261.538
1,3.20287,259.612
1,3.20309,242.719
1,3.2027,260.315
0.9998,3.20298,244.635
1,3.20329,263.578
0.9996,3.22196,245.773
1,3.20347,242.987
1,3.20289,256.99
1,3.20271,248.73
1,3.20303,259.83
1,3.20252,248.211
1,3.20325,262.38
1,3.20274,256.487
1,3.20262,249.689
1,3.20291,258.221
1,3.20275,257.942
1,3.20262,248.933
1,3.20308,245.144
1,3.20227,246.833
0.9998,3.28112,259.57
0.9999,3.20297,246.82
1,3.20257,256.196
1,3.20315,245.083
0.9999,3.20273,244.503
1,3.20296,251.296
1,3.20292,247.111
0.9999,3.20268,245.973
1,3.20275,248.704
1,3.20256,259.007
0.9999,3.20306,262.008
1,3.20278,244.763
1,3.20237,258.167
1,3.20304,258.585
1,3.20293,242.964
0.9998,3.24938,245.325
1,3.20612,251.558
0.9999,3.20229,246.189
1,3.20235,282.423
1,3.20291,244.319
1,3.20296,245.196
