rate_hits,cycles_train,cycles_attack
0.9999,0,240.157
1,0,242.936
1,0,221.436
1,0,238.665
1,0,239.326
0.9981,0,225.843
0.9996,0,243.206
0.9999,0,220.204
1,0,219.902
0.9999,0,222.592
1,0,220.155
1,0,223.129
1,0,238.369
0.9999,0,241.336
1,0,239.252
0.9998,0,236.293
0.9999,0,242.748
1,0,225.703
1,0,243.619
1,0,237.416
1,0,239.296
0.9999,0,220.656
1,0,239.054
0.9999,0,252.78
1,0,242.862
0.9999,0,241.802
0.9999,0,241.351
0.9998,0,260.013
1,0,237.256
1,0,239.283
1,0,240.549
1,0,223.829
1,0,241.772
0.9998,0,236.988
1,0,242.003
1,0,239.875
1,0,223.649
0.9988,0,223.213
0.9999,0,223.359
1,0,222.726
1,0,239.641
1,0,238.209
1,0,237.883
1,0,223.563
1,0,220.999
0.9999,0,241.862
0.9998,0,239.804
0.9998,0,246.64
1,0,240.126
1,0,239.842
1,0,241.16
0.9999,0,242.048
1,0,221.579
1,0,255.222
0.9992,0,240.633
1,0,220.197
1,0,220.956
1,0,243.649
1,0,221.125
0.9999,0,222.187
1,0,222.602
1,0,225.169
1,0,240.124
1,0,218.664
1,0,222.132
1,0,243.064
1,0,239.837
1,0,221.86
1,0,237.948
1,0,224.522
0.9998,0,243.212
1,0,222.305
1,0,239.758
1,0,238.52
1,0,237.037
1,0,240.737
1,0,224.331
0.9999,0,221.945
1,0,240.094
0.9999,0,239.917
1,0,220.659
1,0,221.383
1,0,239.448
1,0,222.877
1,0,254.536
1,0,220.309
0.9989,0,221.373
1,0,221.238
1,0,239.69
1,0,239.507
1,0,241.16
1,0,243.011
1,0,239.629
1,0,238.293
1,0,226.84
1,0,238.253
1,0,241.399
0.9999,0,241.703
1,0,223.3
1,0,238.786
1,0,241.5
1,0,235.772
0.999,0,259.198
1,0,222.903
1,0,220.399
0.9999,0,221.529
1,0,227.567
1,0,220.566
1,0,221.281
1,0,222.387
1,0,219.782
1,0,243.707
1,0,240.758
1,0,221.978
1,0,240.558
1,0,240.598
1,0,241.193
1,0,240.066
1,0,239.25
0.9999,0,223.241
0.9999,0,220.795
1,0,240.082
1,0,218.687
1,0,220.508
1,0,243.994
1,0,237.782
1,0,222.795
1,0,244.103
1,0,237.347
1,0,237.787
0.9999,0,222.88
1,0,238.22
1,0,223.132
1,0,238.047
1,0,219.584
0.9996,0,238.31
1,0,239.468
1,0,226.828
1,0,225.168
1,0,219.511
1,0,221.702
1,0,220.855
1,0,222.43
1,0,242.654
1,0,238.089
1,0,240.157
1,0,239.722
1,0,240.529
0.9999,0,241.394
1,0,242.966
1,0,237.508
0.9988,0,244.614
1,0,224.217
1,0,220.96
1,0,239.495
0.9999,0,222.311
1,0,221.548
1,0,239.261
1,0,222.956
1,0,237.828
1,0,242.377
1,0,220.074
1,0,226.387
1,0,219.408
1,0,221.27
1,0,237.792
0.9999,0,220.195
1,0,222.724
0.9999,0,218.607
1,0,242.313
1,0,222.098
1,0,255.331
0.9999,0,237.706
1,0,219.516
0.9999,0,240.015
1,0,237.382
1,0,220.634
1,0,223.112
1,0,238.81
1,0,222.591
1,0,220.912
1,0,238.312
1,0,241.278
1,0,220.736
0.9985,0,239.486
1,0,220.88
1,0,254.509
0.9999,0,221.605
1,0,237.905
1,0,221.293
1,0,227.122
1,0,225.273
1,0,227.85
1,0,225.398
1,0,225.233
1,0,227.509
1,0,240.57
1,0,238.736
1,0,238.799
1,0,239.578
0.9974,0,221.83
1,0,240.157
1,0,238.981
1,0,222.722
1,0,223.836
1,0,242.227
1,0,221.999
1,0,224.407
1,0,220.577
1,0,222.807
1,0,223.043
1,0,237.955
1,0,220.549
1,0,223.008
1,0,241.713
0.9999,0,221.486
0.9998,0,222.432
1,0,222.456
1,0,222.815
1,0,226.089
1,0,224.81
0.9999,0,222.952
0.9998,0,223.983
1,0,238.269
1,0,237.658
0.9999,0,224.115
1,0,223.743
1,0,221.56
1,0,252.97
1,0,220.417
1,0,222.23
1,0,226.702
1,0,219.279
0.9998,0,238.227
1,0,221.868
1,0,220.579
1,0,241.829
1,0,222.285
1,0,254.132
1,0,242.513
1,0,220.32
1,0,220.282
1,0,241.865
1,0,219.954
1,0,240.286
1,0,221.362
1,0,237.233
1,0,224.545
1,0,222.848
0.9859,0,239.685
1,0,220.064
1,0,221.923
1,0,241.699
1,0,219.458
1,0,236.615
1,0,255.818
0.9999,0,239.99
1,0,238.449
1,0,223.611
1,0,226.734
1,0,223.799
0.9996,0,222.643
1,0,237.521
1,0,220.781
0.9999,0,236.856
0.9993,0,239.304
1,0,237.431
0.9998,0,222.983
1,0,225.428
1,0,225.198
1,0,226.134
1,0,236.329
1,0,239.247
1,0,243.692
1,0,221.138
1,0,223.194
1,0,223.982
1,0,223.945
1,0,224.218
1,0,220.492
1,0,242.639
1,0,219.924
1,0,239.075
1,0,253.433
1,0,240.852
1,0,241.931
1,0,239.286
1,0,245.463
0.9999,0,239.028
1,0,220.679
