rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.0004,0.0001,8.11236e-06,8.18329e-06
0.1746,0.1116,8.17412e-06,8.23679e-06
0.0019,0,8.12015e-06,8.18688e-06
0.0413,0.008,8.0968e-06,8.1592e-06
0.0536,0.0099,8.15307e-06,8.21441e-06
0.0236,0.0002,8.14654e-06,8.20664e-06
0.0013,0,8.13789e-06,8.1978e-06
0.0037,0.0088,8.1105e-06,8.17745e-06
0.146,0,8.35019e-06,8.17691e-06
0.0008,0,8.10926e-06,8.16295e-06
0.0325,0.0448,8.146e-06,8.21455e-06
0.049,0.0399,8.21738e-06,8.27777e-06
0.0595,0.0136,8.13421e-06,8.19182e-06
0.0009,0,8.11231e-06,8.16552e-06
0.0011,0,8.0876e-06,8.15785e-06
0.0021,0.0002,8.1425e-06,8.19118e-06
0.0022,0.0001,8.10565e-06,8.15172e-06
0.001,0.0001,8.08329e-06,8.15708e-06
0.0146,0.0001,8.11317e-06,8.16766e-06
0.002,0.0002,8.08843e-06,8.13272e-06
0.0349,0.0108,8.13259e-06,8.19258e-06
0.0012,0.0001,8.10465e-06,8.17154e-06
0.1745,0.0002,8.14455e-06,8.19145e-06
0.001,0,8.09841e-06,8.17045e-06
0.003,0.0003,8.1491e-06,8.19097e-06
0.0524,0.0113,8.12749e-06,8.18815e-06
0.0573,0.0116,8.12163e-06,8.1825e-06
0.0016,0,8.0914e-06,8.14661e-06
0.0022,0.0001,8.11967e-06,8.18438e-06
0.0591,0.0158,8.13948e-06,8.20206e-06
0.0504,0.0194,8.10551e-06,8.1717e-06
0.0525,0.0115,8.11591e-06,8.17551e-06
0.0022,0,8.10708e-06,8.17271e-06
0.052,0.0151,8.15074e-06,8.18593e-06
0.0018,0,8.11113e-06,8.17316e-06
0.0004,0.0001,8.08488e-06,8.14667e-06
0.0043,0.0003,8.13944e-06,8.2032e-06
0.0002,0,8.11662e-06,8.1719e-06
0.0015,0,8.1087e-06,8.17542e-06
0.0234,0.0001,8.13396e-06,8.20577e-06
0.0013,0.0001,8.19313e-06,8.26032e-06
0.024,0.0001,8.14109e-06,8.20125e-06
0.0038,0.0001,8.12082e-06,8.18166e-06
0.0447,0.0144,8.12495e-06,8.17567e-06
0.0034,0.0002,8.09787e-06,8.14907e-06
0.1379,0.0305,8.27866e-06,8.2278e-06
0.0009,0,8.09957e-06,8.16898e-06
0.0054,0,8.08755e-06,8.14692e-06
0.0118,0,8.0966e-06,8.16253e-06
0.0608,0.0131,8.15341e-06,8.21541e-06
0.0015,0,8.08974e-06,8.15847e-06
0.0016,0,8.12376e-06,8.19194e-06
0.0022,0,8.18334e-06,8.22491e-06
0.0007,0.0004,8.11725e-06,8.15547e-06
0.002,0,8.13427e-06,8.20311e-06
0.0757,0,8.15823e-06,8.22512e-06
0.0015,0.0001,8.10121e-06,8.17117e-06
0.0003,0,8.14104e-06,8.18957e-06
