rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.7075,0,8.73125e-06,8.9421e-06
0.7572,0,8.72372e-06,8.94311e-06
0.728,0,8.70879e-06,8.94243e-06
0.6059,0,8.83504e-06,8.98547e-06
0.6519,0,8.73901e-06,8.94233e-06
0.7568,0,8.72528e-06,8.94257e-06
0.6414,0,8.76133e-06,8.94221e-06
0.669,0,8.75987e-06,8.94253e-06
0.6621,0,8.77481e-06,8.94277e-06
0.7219,0,8.81285e-06,9.02728e-06
0.7343,0,8.71321e-06,8.94243e-06
0.765,0,8.72237e-06,8.94215e-06
0.7591,0,8.70386e-06,8.94195e-06
0.7282,0,8.7451e-06,8.94242e-06
0.7181,0,8.7696e-06,8.94622e-06
0.7609,0,8.7243e-06,8.9422e-06
0.6879,0,8.71881e-06,8.943e-06
0.6039,0,8.76969e-06,8.94163e-06
0.6412,0,8.74455e-06,8.94169e-06
0.7658,0,8.73486e-06,8.94314e-06
0.7401,0,8.733e-06,8.94217e-06
0.7466,0.0009,8.68826e-06,9.16758e-06
0.5715,0,8.78558e-06,8.94253e-06
0.7092,0,8.72624e-06,8.94267e-06
0.6985,0,8.71891e-06,8.94248e-06
0.6188,0,8.79738e-06,8.95299e-06
0.6652,0,8.74333e-06,8.94242e-06
0.6885,0,8.76784e-06,8.94461e-06
0.7326,0,8.69992e-06,8.94257e-06
0.6997,0,8.73257e-06,8.94206e-06
0.6679,0,8.8304e-06,9.02552e-06
0.6556,0,8.76687e-06,8.9418e-06
0.6823,0,8.762e-06,8.9419e-06
0.6842,0,8.72783e-06,8.94216e-06
0.7269,0,8.71958e-06,8.94228e-06
0.682,0,8.80736e-06,8.98102e-06
0.6456,0,8.75106e-06,8.94174e-06
0.7169,0,8.7443e-06,8.94214e-06
0.7372,0,8.71933e-06,8.94232e-06
0.7468,0,8.70279e-06,8.9431e-06
0.6631,0,8.77032e-06,8.94333e-06
0.7111,0,8.73422e-06,8.94381e-06
0.6091,0,8.75377e-06,8.94177e-06
0.6691,0,8.80879e-06,8.99966e-06
0.7651,0,8.70261e-06,8.94197e-06
0.7326,0,8.74547e-06,8.94243e-06
0.7535,0,8.70988e-06,8.94255e-06
0.7081,0,8.72907e-06,8.94365e-06
0.5806,0,8.78668e-06,8.9448e-06
0.7633,0,8.70352e-06,8.94268e-06
0.7371,0,8.74915e-06,8.94246e-06
0.7514,0,8.6896e-06,8.94208e-06
0.6481,0,8.76444e-06,8.94158e-06
