rate_hits,cycles_leak,cycles_decode,total_time
1,1792.06,94639.8,0.0107303
1,1804.23,94623.8,0.0107299
0.89,1783.99,94580.6,0.0107239
0.82,1785.8,94657.3,0.0107322
0.63,1786.67,94655.3,0.0107314
0.26,1775.85,94583.8,0.0107233
0.29,1784.86,94607.6,0.0107265
1,1787.88,94634.7,0.0107293
1,1785.28,94652.8,0.0107309
1,1812.94,94621.1,0.0107306
1,1786.06,94608.2,0.010726
1,1792.96,94573.6,0.0107229
0.35,1783.24,94631.5,0.0107295
1,1799.4,94667.3,0.0107341
1,1785.22,94652.4,0.0107309
0.4,1790.26,94574.4,0.0107239
1,1785.9,94608.7,0.0107262
0.24,1780.52,94606.9,0.010726
0.99,1843.75,94606.6,0.0107326
0.91,1780.96,94586.8,0.0107239
0.86,1788.76,94655.4,0.0107323
1,1783.24,94639.9,0.0107293
0.36,1777.88,94605.3,0.0107255
1,1799.39,94606.1,0.0107274
0.27,1781.98,94729.5,0.0107398
0.85,1781.82,94641.9,0.0107301
0.9,1799.35,94579.1,0.0107251
1,1787.28,94589.6,0.0107242
0.92,1779.6,94656.5,0.0107314
1,1789.32,94642.5,0.0107302
0.83,1785.17,94620,0.010728
0.17,1783.94,94696.5,0.0107363
1,1793.17,94649.4,0.0107315
1,1787.08,94681.2,0.0107343
0.85,1790.04,94671.7,0.0107348
1,1797.04,94664.5,0.0107336
0.72,1783.19,94655.7,0.0107322
0.89,1780.82,94606.5,0.010726
0.85,1780.69,94659.3,0.0107323
0.24,1789.49,94688,0.010736
1,1785.5,94698.2,0.010736
0.3,1780.66,94626,0.0107281
0.5,1780.44,94692,0.0107352
0.29,1815.54,94662.2,0.0107366
1,1793.22,94715.4,0.0107388
0.82,1783.14,94652.8,0.0107314
0.88,1783.87,94727.3,0.0107402
1,1785.55,94722.8,0.0107387
0.85,1790.53,94673.6,0.0107346
0.22,1784.07,94702,0.0107369
1,1779.84,94729,0.0107388
1,1782.63,94761.9,0.0107428
0.46,1804.75,94725.4,0.0107424
1,1815.99,94648.7,0.010734
0.32,1775.86,94731.1,0.0107393
0.21,1786.88,94698.3,0.0107368
0.84,1793.57,94714.9,0.0107395
0.36,1780.44,94767.9,0.0107439
0.92,1774.98,94659.5,0.0107316
0.8,1784.82,94637.5,0.0107299
0.88,1797.42,94658.6,0.0107337
0.26,1787.96,94623.9,0.0107287
0.89,1785.49,94668.3,0.0107334
1,1783.26,94710.9,0.0107372
0.23,1794.45,94711.1,0.0107385
0.75,1781.9,94687.5,0.0107352
0.81,1785.75,94639.2,0.0107302
1,1789.21,94659.1,0.0107321
0.29,1779.1,94712.9,0.0107376
0.36,1834.01,94616.8,0.0107332
1,1789.57,94729.8,0.01074
0.29,1781.08,94725.5,0.0107392
0.16,1776.47,94720.8,0.0107382
1,1787.8,94637.4,0.0107295
1,1783.79,94647.2,0.0107301
0.25,1780.22,94661.4,0.010732
0.2,1776.84,94613.1,0.0107263
0.98,1809.91,94654.5,0.010734
0.17,1790,94552.5,0.010721
0.89,1782.07,94689.7,0.0107354
1,1786.41,94679.1,0.010734
1,1784.48,94722.4,0.0107386
0.99,1784.36,94640.1,0.0107295
0.15,1781.06,94691.5,0.0107354
0.24,1780.25,94648,0.0107305
1,1784.04,94676.4,0.0107334
0.3,1791.89,94694.8,0.0107371
1,1788.08,94669.1,0.010733
0.2,1772.85,94761.9,0.0107428
1,1791.93,94663.1,0.0107328
0.89,1782.22,94674.7,0.0107338
1,1790.69,94659.9,0.0107324
1,1780.4,94613.5,0.010726
0.75,1782.1,94638.8,0.0107302
1,1841.21,94787.2,0.0107523
1,1799.93,94634.5,0.0107306
1,1784.81,94643.1,0.0107297
0.83,1783.26,94631.9,0.0107291
1,1787.85,94657.4,0.0107318
0.24,1781.84,94691.4,0.0107359
1,1780.9,94683.8,0.0107339
0.74,1785.19,94654.5,0.0107318
0.85,1779.13,94676.6,0.0107336
0.25,1795.03,94660.6,0.0107337
0.37,1783.99,94648.5,0.010731
0.24,1781.36,94673,0.0107334
1,1786.68,94730.3,0.0107397
1,1793.79,94674,0.0107343
0.99,1786.88,94641.6,0.0107299
0.3,1784.09,94685.3,0.0107353
1,1783.75,94695.4,0.0107355
0.1,1793.87,94662.9,0.0107339
1,1782.29,94596,0.0107243
0.18,1787.46,94641.3,0.0107307
0.23,1775.86,94719.8,0.010738
1,1790.61,94702.2,0.0107371
0.16,1784.19,94687.4,0.0107353
0.86,1779.96,94693.1,0.0107355
0.16,1778.69,94644,0.0107299
1,1791.41,94635.8,0.0107298
0.86,1833.78,94733.4,0.0107463
1,1782.77,94649.2,0.0107302
1,1789.01,94692,0.0107357
1,1788.28,94659.8,0.010732
0.08,1778.67,94699.4,0.0107361
0.13,1778.43,94696.6,0.0107357
1,1782.85,94703.3,0.0107363
0.75,1780.47,94694.1,0.0107357
1,1804.35,94699.6,0.0107384
0.74,1779.38,94696.7,0.0107359
0.71,1786.46,94710.1,0.0107382
0.84,1778.58,94751.1,0.0107418
1,1786.03,94649.9,0.0107307
0.9,1777.33,94693.3,0.0107357
1,1788.09,94683.1,0.0107346
1,1791.2,94674.9,0.010734
1,1785.91,94690.6,0.0107353
1,1796.17,94683,0.0107355
1,1784.63,94675.4,0.0107333
1,1797.27,94662.5,0.0107334
1,1795.1,94600.8,0.0107263
0.79,1785.02,94674.9,0.0107341
0.18,1784.5,94694.4,0.0107361
1,1783.65,94621.9,0.0107273
0.92,1781.53,94660.6,0.0107321
1,1836.81,94622.7,0.0107335
1,1787.08,94690.7,0.0107354
0.99,1784.99,94650.5,0.0107306
1,1791.41,94666.9,0.0107332
1,1793.53,94611.7,0.0107273
0.8,1781.39,94674.3,0.0107336
1,1795.54,94655.4,0.0107324
1,1788.43,94653.6,0.0107313
0.23,1779.68,94728.7,0.0107394
0.23,1802.1,94656.9,0.010734
1,1788.3,94591.9,0.0107245
1,1783.45,94661.1,0.0107316
1,1785.67,94706.9,0.010737
1,1794.73,94585.3,0.0107245
0.21,1778.34,94608.2,0.0107259
0.84,1784.72,94532.5,0.0107189
1,1786.7,94592.7,0.0107245
1,1806.72,94608.7,0.0107285
1,1784.95,94607.7,0.0107259
0.91,1784.02,94599.1,0.0107255
1,1789.69,94545.2,0.0107195
0.99,1797.09,94534.7,0.0107192
1,1789.47,94591.9,0.0107246
1,1792.06,94543.6,0.0107195
1,1791.08,94567.2,0.0107221
0.19,1786.12,94656.8,0.0107321
0.27,1847.25,94777.1,0.010753
0.89,1784.89,94614.8,0.0107274
1,1790.99,94616.8,0.0107276
0.15,1784.94,94691.2,0.0107358
0.2,1778.58,94694.6,0.0107355
0.8,1791.09,94645.6,0.0107315
0.17,1798.52,94641.6,0.0107318
1,1796.51,94635.1,0.0107302
1,1804.42,94613,0.0107287
1,1794.79,94621.1,0.0107285
1,1792.21,94639.2,0.0107301
0.1,1785.17,94628,0.0107288
0.88,1778.93,94690.3,0.0107351
1,1789.98,94680.6,0.0107346
0.1,1786.24,94668.1,0.0107334
0.79,1785.91,94654.1,0.0107324
